abbey {1>a|b>bb|i0>ey
crop k>c|r>r|A1>o|p>p
cross k>c|r>r|O1>o|s>ss
crossing k>c|r>r|O1>o|s>ss|I0>i|N>ng
crosswalk k>c|r>r|O1>o|s>ss|w>w|O2>a|k>lk
crow k>c|r>r|@U1>ow
crowd k>c|r>r|aU1>ow|d>d
crown k>c|r>r|aU1>ow|n>n
cruise k>c|r>r|u1>ui|z>se
cruiser k>c|r>r|u1>ui|z>s|r=0>er
cruiseship k>c|r>r|u1>ui|z>se|S>sh|I1>i|p>p
crush k>c|r>r|V1>u|S>sh
crust k>c|r>r|V1>u|s>s|t>t
crustacean k>c|r>r|V0>u|s>s|t>t|EI1>a|S>ce|V0>a|n>n
crutch k>c|r>r|V1>u|tS>tch
crutches k>c|r>r|V1>u|tS>tch|i0>e|z>s
cruz k>c|r>r|u1>u|z>z
cry k>c|r>r|AI1>y
crying k>c|r>r|AI1>y|I0>i|N>ng
crystal k>c|r>r|I1>y|s>s|t>t|V0>a|l>l
cuba k>c|j;u1>u|b>b|V0>a
cube k>c|j;u1>u|b>be
cucumber k>c|j;u1>u|k>c|V0>u|m>m|b>b|r=0>er
culture k>c|V1>u|l>l|tS>t|r=0>ure
cup k>c|V1>u|p>p
cupboard k>c|V1>u|p>p|b>bo|r=0>ar|d>d
cupcake k>c|V1>u|p>p|k>c|EI0>a|k>ke
cure k>c|j;U1>u|r>re
curiosity k>c|j;U2>u|r>r|i0>i|A1>o|s>s|I0>i|t>t|i0>y
currency k>c|r=1>urr|E0>e|n>n|s>c|i0>y
curse k>c|r=1>ur|s>se
cursor k>c|r=1>ur|s>s|r=0>or
curtain k>c|r=1>ur|t>t|V0>ai|n>n
curve k>c|r=1>ur|v>ve
cushion k>c|U1>u|S>shi|V0>o|n>n
custom k>c|V1>u|s>s|t>t|V0>o|m>m
customer k>c|V1>u|s>s|t>t|V0>o|m>m|r=0>er
cutlery k>c|V1>u|t>t|l>l|r=0>er|i0>y
cuttlefish k>c|V1>u|t>tt|V0;l>le|f>f|I2>i|S>sh
cyborg s>c|AI1>y|b>b|O0>o|r>r|g>g
cycle s>c|AI1>y|k>c|V0;l>le
cyclops s>c|AI1>y|k>c|l>l|O2>o|p>p|s>s
cylinder s>c|I1>y|l>l|I0>i|n>n|d>d|r=0>er
cymbal s>c|I1>y|m>m|b>b|V0>a|l>l
cyprus s>c|AI1>y|p>p|r>r|V0>u|s>s
czech tS>cz|E1>e|k>ch
dad d>d|{1>a|d>d
daddy d>d|{1>a|d>dd|i0>y
daemon d>d|i1>ae|m>m|V0>o|n>n
dagger d>d|{1>a|g>gg|r=0>er
dairy d>d|E1>ai|r>r|i0>y
daisy d>d|EI1>ai|z>s|i0>y
dakota d>d|V0>a|k>k|@U1>o|t>t|V0>a
dale d>d|EI1>a|l>le
dallas d>d|{1>a|l>ll|V0>a|s>s
dam d>d|{1>a|m>m
damage d>d|{1>a|m>m|V0>a|dZ>ge
dame d>d|EI1>a|m>me
dan d>d|{1>a|n>n
dana d>d|EI1>a|n>n|V0>a
dance d>d|{1>a|n>n|s>ce
dancer d>d|{1>a|n>n|s>c|r=0>er
dancing d>d|{1>a|n>n|s>c|I0>i|N>ng
dandelion d>d|{1>a|n>n|d>d|E0>e|l>l|AI2>i|V0>o|n>n
danger d>d|EI1>a|n>n|dZ>g|r=0>er
daniel d>d|{1>a|n>n|j>i|E0>e|l>l
danny d>d|{1>a|n>nn|i0>y
dante d>d|A1>a|n>n|t>t|EI0>e
darkness d>d|A1>a|r>r|k>k|n>n|E0>e|s>ss
darling d>d|A1>a|r>r|l>l|I0>i|N>ng
dart d>d|A1>a|r>r|t>t
darwin d>d|A1>a|r>r|w>w|I0>i|n>n
data d>d|EI1>a|t>t|V0>a
database d>d|EI1>a|t>t|V0>a|b>b|EI2>a|s>se
date d>d|EI1>a|t>te
daughter d>d|O1>augh|t>t|r=0>er
dave d>d|EI1>a|v>ve
david d>d|EI1>a|v>v|I0>i|d>d
davis d>d|EI1>a|v>v|I0>i|s>s
dawn d>d|O1>aw|n>n
day d>d|EI1>ay
daylight d>d|EI1>ay|l>l|AI2>igh|t>t
deal d>d|i1>ea|l>l
dealer d>d|i1>ea|l>l|r=0>er
dean d>d|i1>ea|n>n
death d>d|E1>ea|T>th
debate d>d|E0>e|b>b|EI1>a|t>te
debris d>d|E0>e|b>b|r>r|i1>is
debt d>d|E1>eb|t>t
decade d>d|E1>e|k>c|EI0>a|d>de
decapod d>d|E1>e|k>c|V0>a|p>p|O2>o|d>d
december d>d|I0>e|s>c|E1>e|m>m|b>b|r=0>er
decision d>d|I0>e|s>c|I1>i|Z>si|V0>o|n>n
deck d>d|E1>e|k>ck
decline d>d|I0>e|k>c|l>l|AI1>i|n>ne
decor d>d|I0>e|k>c|O1>o|r>r
decoration d>d|E2>e|k>c|r=0>or|EI1>a|S>ti|V0>o|n>n
decrease d>d|I0>e|k>c|r>r|i1>ea|s>se
deer d>d|I1>ee|r>r
defeat d>d|I0>e|f>f|i1>ea|t>t
defect d>d|I0>e|f>f|E1>e|k>c|t>t
defence d>d|I0>e|f>f|E1>e|n>n|s>ce
defendant d>d|I0>e|f>f|E1>e|n>n|d>d|V0>a|n>n|t>t
defense d>d|I0>e|f>f|E1>e|n>n|s>se
definition d>d|E2>e|f>f|I0>i|n>n|I1>i|S>ti|V0>o|n>n
degree d>d|I0>e|g>g|r>r|i1>ee
deity d>d|i1>e|I0>i|t>t|i0>y
delaware d>d|E1>e|l>l|V0>a|w>w|E2>a|r>re
delay d>d|I0>e|l>l|EI1>ay
delhi d>d|E1>e|l>l|i0>hi
delivery d>d|I0>e|l>l|I1>i|v>v|r=0>er|i0>y
delta d>d|E1>e|l>l|t>t|V0>a
demand d>d|I0>e|m>m|{1>a|n>n|d>d
democracy d>d|I0>e|m>m|A1>o|k>c|r>r|V0>a|s>c|i0>y
demon d>d|i1>e|m>m|V0>o|n>n
den d>d|E1>e|n>n
denis d>d|E1>e|n>n|I0>i|s>s
denmark d>d|E1>e|n>n|m>m|A2>a|r>r|k>k
dennis d>d|E1>e|n>nn|I0>i|s>s
density d>d|E1>e|n>n|s>s|I0>i|t>t|i0>y
dent d>d|E1>e|n>n|t>t
dentist d>d|E1>e|n>n|t>t|I0>i|s>s|t>t
denver d>d|E1>e|n>n|v>v|r=0>er
department d>d|I0>e|p>p|A1>a|r>r|t>t|m>m|E0>e|n>n|t>t
depot d>d|i1>e|p>p|@U0>ot
depth d>d|E1>e|p>p|T>th
description d>d|I0>e|s>s|k>c|r>r|I1>i|p>p|S>ti|V0>o|n>n
desert d>d|I0>e|z>s|r=1>er|t>t
design d>d|I0>e|z>s|AI1>ig|n>n
designer d>d|I0>e|z>s|AI1>ig|n>n|r=0>er
desire d>d|I0>e|z>s|AI1>i|r=0>re
desk d>d|E1>e|s>s|k>k
dessert d>d|I0>e|z>ss|r=1>er|t>t
destroyer d>d|I0>e|s>s|t>t|r>r|OI1>oy|r=0>er
destruction d>d|I0>e|s>s|t>t|r>r|V1>u|k>c|S>ti|V0>o|n>n
detail d>d|I0>e|t>t|EI1>ai|l>l
detective d>d|I0>e|t>t|E1>e|k>c|t>t|I0>i|v>ve
detector d>d|I0>e|t>t|E1>e|k>c|t>t|r=0>or
detergent d>d|I0>e|t>t|r=1>er|dZ>g|E0>e|n>n|t>t
detonation d>d|E2>e|t>t|V0>o|n>n|EI1>a|S>ti|V0>o|n>n
detroit d>d|I0>e|t>t|r>r|OI1>oi|t>t
development d>d|I0>e|v>v|E1>e|l>l|V0>o|p>p|m>m|E0>e|n>n|t>t
device d>d|I0>e|v>v|AI1>i|s>ce
devil d>d|E1>e|v>v|I0>i|l>l
dew d>d|u1>ew
dharma d>d|A1>ha|r>r|m>m|V0>a
diagnosis d>d|AI2>i|V0>a|g>g|n>n|@U1>o|s>s|I0>i|s>s
diagram d>d|AI1>i|V0>a|g>g|r>r|{2>a|m>m
dial d>d|AI1>i|V0>a|l>l
diameter d>d|AI0>i|{1>a|m>m|E0>e|t>t|r=0>er
diamond d>d|AI1>ia|m>m|V0>o|n>n|d>d
diana d>d|AI0>i|{1>a|n>n|V0>a
diane d>d|AI0>i|{1>a|n>ne
diaper d>d|AI1>ia|p>p|r=0>er
diary d>d|AI1>i|r=0>ar|i0>y
dice d>d|AI1>i|s>ce
dictionary d>d|I1>i|k>c|S>ti|V0>o|n>n|E2>a|r>r|i0>y
diego d>d|i0>i|EI1>e|g>g|@U0>o
diesel d>d|i1>ie|z>s|E0>e|l>l
diet d>d|AI1>i|E0>e|t>t
difference d>d|I1>i|f>ff|r=0>er|E0>e|n>n|s>ce
difficulty d>d|I1>i|f>ff|I0>i|k>c|V2>u|l>l|t>t|i0>y
dimension d>d|I0>i|m>m|E1>e|n>n|S>si|V0>o|n>n
dinghy d>d|I1>i|N>ngh|i0>y
dinner d>d|I1>i|n>nn|r=0>er
dino d>d|i1>i|n>n|@U0>o
dinosaur d>d|AI1>i|n>n|V0>o|s>s|O2>au|r>r
dip d>d|I1>i|p>p
diplodocus d>d|I0>i|p>p|l>l|A1>o|d>d|V0>o|k>c|V0>u|s>s
direction d>d|r=0>ir|E1>e|k>c|S>ti|V0>o|n>n
director d>d|I0>i|r>r|E1>e|k>c|t>t|r=0>or
dirigible d>d|I1>i|r>r|I0>i|dZ>g|I0>i|b>b|l>le
dirt d>d|r=1>ir|t>t
disaster d>d|I0>i|z>s|{1>a|s>s|t>t|r=0>er
disc d>d|I1>i|s>s|k>c
disciple d>d|I0>i|s>sc|AI1>i|p>p|V0;l>le
disco d>d|I1>i|s>s|k>c|@U0>o
discount d>d|I1>i|s>s|k>c|aU0>ou|n>n|t>t
discoverer d>d|I1>i|s>s|k>c|V1>o|v>v|r=0>er|r=0>er
discovery d>d|I0>i|s>s|k>c|V1>o|v>v|r=0>er|i0>y
discussion d>d|I0>i|s>s|k>c|V1>u|S>ssi|V0>o|n>n
disease d>d|I0>i|z>s|i1>ea|z>se
disguise d>d|I0>i|s>s|g>g|AI1>ui|z>se
dish d>d|I1>i|S>sh
dishwasher d>d|I1>i|S>sh|w>w|A2>a|S>sh|r=0>er
disk d>d|I1>i|s>s|k>k
display d>d|I0>i|s>s|p>p|l>l|EI1>ay
distance d>d|I1>i|s>s|t>t|V0>a|n>n|s>ce
distribution d>d|I2>i|s>s|t>t|r>r|I0>i|b>b|j;u1>u|S>ti|V0>o|n>n
district d>d|I1>i|s>s|t>t|r>r|I0>i|k>c|t>t
ditch d>d|I1>i|tS>tch
diver d>d|AI1>i|v>v|r=0>er
division d>d|I0>i|v>v|I1>i|Z>si|V0>o|n>n
djinn dZ>dj|I1>i|n>nn
djinni dZ>dj|I1>i|n>nn|i0>i
djinny dZ>dj|I1>i|n>nn|i0>y
doc d>d|A1>o|k>c
dock d>d|A1>o|k>ck
doctor d>d|A1>o|k>c|t>t|r=0>or
document d>d|A1>o|k>c|j;u0>u|m>m|E0>e|n>n|t>t
documentary d>d|A2>o|k>c|j;u0>u|m>m|E1>e|n>n|t>t|r=0>ar|i0>y
dodge d>d|A1>o|dZ>dge
doe d>d|@U1>oe
dog d>d|O1>o|g>g
doghouse d>d|O1>o|g>g|h>h|aU2>ou|s>se
doll d>d|A1>o|l>ll
dollar d>d|A1>o|l>ll|r=0>ar
dollars d>d|A1>o|l>ll|r=0>ar|z>s
dolly d>d|A1>o|l>ll|i0>y
dolphin d>d|A1>o|l>l|f>ph|I0>i|n>n
domain d>d|@U0>o|m>m|EI1>ai|n>n
dome d>d|@U1>o|m>me
domino d>d|A1>o|m>m|I0>i|n>n|@U2>o
don d>d|A1>o|n>n
donald d>d|A1>o|n>n|V0>a|l>l|d>d
donkey d>d|A1>o|n>n|k>k|i0>ey
donor d>d|@U1>o|n>n|r=0>or
donut d>d|@U1>o|n>n|V2>u|t>t
door d>d|O1>oo|r>r
doorway d>d|O1>oo|r>r|w>w|EI2>ay
dorothy d>d|O1>o|r>r|V0>o|T>th|i0>y
dot d>d|A1>o|t>t
double d>d|V1>ou|b>b|V0;l>le
doubt d>d|aU1>oub|t>t
doug d>d|V1>ou|g>g
dough d>d|@U1>ough
doughnut d>d|@U1>ough|n>n|V2>u|t>t
douglas d>d|V1>ou|g>g|l>l|V0>a|s>s
dove d>d|@U1>o|v>ve
downtown d>d|aU1>ow|n>n|t>t|aU1>ow|n>n
dozen d>d|V1>o|z>z|E0>e|n>n
dozer d>d|@U1>o|z>z|r=0>er
dracula d>d|r>r|{1>a|k>c|j;u0>u|l>l|V0>a
draft d>d|r>r|{1>a|f>f|t>t
drag d>d|r>r|{1>a|g>g
dragon d>d|r>r|{1>a|g>g|V0>o|n>n
dragonfly d>d|r>r|{1>a|g>g|V0>o|n>n|f>f|l>l|AI0>y
drain d>d|r>r|EI1>ai|n>n
drake d>d|r>r|EI1>a|k>ke
drama d>d|r>r|A1>a|m>m|V0>a
drape d>d|r>r|EI1>a|p>pe
drapery d>d|r>r|EI1>a|p>p|r=0>er|i0>y
drawer d>d|r>r|O1>aw|r>er
drawing d>d|r>r|O1>aw|I0>i|N>ng
dreadnought d>d|r>r|E1>ea|d>d|n>n|O2>ough|t>t
dream d>d|r>r|i1>ea|m>m
dress d>d|r>r|E1>e|s>ss
dresser d>d|r>r|E1>e|s>ss|r=0>er
drill d>d|r>r|I1>i|l>ll
drink d>d|r>r|I1>i|n>n|k>k
drive d>d|r>r|AI1>i|v>ve
driver d>d|r>r|AI1>i|v>v|r=0>er
droid d>d|r>r|OI1>oi|d>d
drome d>d|r>r|@U2>o|m>me
drone d>d|r>r|@U1>o|n>ne
drop d>d|r>r|A1>o|p>p
drought d>d|r>r|aU1>ough|t>t
drug d>d|r>r|V1>u|g>g
drugstore d>d|r>r|V1>u|g>g|s>s|t>t|O2>o|r>re
drum d>d|r>r|V1>u|m>m
dryer d>d|r>r|AI1>y|r=0>er
dublin d>d|V1>u|b>b|l>l|I0>i|n>n
duck d>d|V1>u|k>ck
duckling d>d|V1>u|k>ck|l>l|I0>i|N>ng
duct d>d|V1>u|k>c|t>t
duke d>d|u1>u|k>ke
dumbbell d>d|V1>u|m>m|b>bb|E2>e|l>ll
dump d>d|V1>u|m>m|p>p
dumpster d>d|V1>u|m>m|p>p|s>s|t>t|r=0>er
dumptruck d>d|V1>u|m>m|p>p|t>t|r>r|V1>u|k>ck
dungeon d>d|V1>u|n>n|dZ>ge|V0>o|n>n
dusk d>d|V1>u|s>s|k>k
dust d>d|V1>u|s>s|t>t
dutch d>d|V1>u|tS>tch
duty d>d|u1>u|t>t|i0>y
dvd d;i1>d|v;i1>v|d;i1>d
dwarf d>d|w>w|O1>a|r>r|f>f
dwelling d>d|w>w|E1>e|l>ll|I0>i|N>ng
dye d>d|AI1>ye
dynamite d>d|AI1>y|n>n|V0>a|m>m|AI2>i|t>te
eagle i1>ea|g>g|V0;l>le
ear I1>ea|r>r
earl r=1>ear|l>l
earphone I1>ea|r>r|f>ph|@U2>o|n>ne
earphones I1>ea|r>r|f>ph|@U2>o|n>ne|z>s
earring I1>ea|r>rr|I0>i|N>ng
earth r=1>ear|T>th
earthquake r=1>ear|T>th|k>q|w>u|EI2>a|k>ke
ease i1>ea|z>se
east i1>ea|s>s|t>t
easter i1>ea|s>s|t>t|r=0>er
echidna E0>e|k>ch|i1>i|d>d|n>n|V0>a
echo E1>e|k>ch|@U0>o
eco E1>e|k>c|@U0>o
economy I0>e|k>c|A1>o|n>n|V0>o|m>m|i0>y
ed E1>e|d>d
eddie E1>e|d>dd|i0>ie
eddy E1>e|d>dd|i0>y
eden i1>e|d>d|E0>e|n>n
edgar E1>e|d>d|g>g|r=0>ar
edge E1>e|dZ>dge
edinburgh E1>e|d>d|I0>i|n>n|b>b|r=0>ur|@U0>gh
edith i1>e|d>d|I0>i|T>th
edition I0>e|d>d|I1>i|S>ti|V0>o|n>n
editor E1>e|d>d|I0>i|t>t|r=0>or
edmund E1>e|d>d|m>m|V0>u|n>n|d>d
education E2>e|dZ>d|V0>u|k>c|EI1>a|S>ti|V0>o|n>n
edward E1>e|d>d|w>w|r=0>ar|d>d
edwin E1>e|d>d|w>w|I0>i|n>n
eel i1>ee|l>l
effect I0>e|f>ff|E1>e|k>c|t>t
effort E1>e|f>ff|r=0>or|t>t
egg E1>e|g>gg
egypt i1>e|dZ>g|I0>y|p>p|t>t
elbow E1>e|l>l|b>b|@U2>ow
elder E1>e|l>l|d>d|r=0>er
eleanor E1>e|l>le|V0>a|n>n|r=0>or
election I0>e|l>l|E1>e|k>c|S>ti|V0>o|n>n
electricity I0>e|l>l|E2>e|k>c|t>t|r>r|I1>i|s>c|I0>i|t>t|i0>y
electrode I0>e|l>l|E1>e|k>c|t>t|r>r|@U0>o|d>de
electron I0>e|l>l|E1>e|k>c|t>t|r>r|A0>o|n>n
electronics I0>e|l>l|E2>e|k>c|t>t|r>r|A1>o|n>n|I0>i|k>c|s>s
element E1>e|l>l|E0>e|m>m|E0>e|n>n|t>t
elephant E1>e|l>l|E0>e|f>ph|V0>a|n>n|t>t
elevator E1>e|l>l|E0>e|v>v|EI2>a|t>t|r=0>or
elf E1>e|l>l|f>f
eliot E1>e|l>l|i0>i|V0>o|t>t
elizabeth I0>e|l>l|I1>i|z>z|V0>a|b>b|E0>e|T>th
elk E1>e|l>l|k>k
ella E1>e|l>ll|V0>a
ellen E1>e|l>ll|E0>e|n>n
email i0>e|m>m|EI1>ai|l>l
embassy E1>e|m>m|b>b|V0>a|s>ss|i0>y
embryo E1>e|m>m|b>b|r>r|i0>y|@U2>o
emergency I0>e|m>m|r=1>er|dZ>g|E0>e|n>n|s>c|i0>y
emily E1>e|m>m|I0>i|l>l|i0>y
emission I0>e|m>m|I1>i|S>ssi|V0>o|n>n
emma E1>e|m>mm|V0>a
emotion I0>e|m>m|@U1>o|S>ti|V0>o|n>n
emperor E1>e|m>m|p>p|r=0>er|r=0>or
emphasis E1>e|m>m|f>ph|V0>a|s>s|I0>i|s>s
empire E1>e|m>m|p>p|AI0>i|r=0>re
employee E0>e|m>m|p>p|l>l|OI1>oy|i0>ee
employer E0>e|m>m|p>p|l>l|OI1>oy|r=0>er
employment E0>e|m>m|p>p|l>l|OI1>oy|m>m|E0>e|n>n|t>t
emu i1>e|m>m|j;u2>u
enamel I0>e|n>n|{1>a|m>m|E0>e|l>l
encyclopedia I0>e|n>n|s>c|AI2>y|k>c|l>l|V0>o|p>p|i1>e|d>d|i0>i|V0>a
end E1>e|n>n|d>d
enemy E1>e|n>n|E0>e|m>m|i0>y
energy E1>e|n>n|r=0>er|dZ>g|i0>y
engine E1>e|n>n|dZ>g|I0>i|n>ne
engineer E1>e|n>n|dZ>g|I0>i|n>ne|I1>e|r>r
engineering E1>e|n>n|dZ>g|I0>i|n>ne|I1>e|r>r|I0>i|N>ng
england I1>e|n>n|g>g|l>l|V0>a|n>n|d>d
english I1>e|N>ng|l>l|I0>i|S>sh
enterprise E1>e|n>n|t>t|r=0>er|p>p|r>r|AI2>i|z>se
entertainer E2>e|n>n|t>t|r=0>er|t>t|EI1>ai|n>n|r=0>er
entertainment E2>e|n>n|t>t|r=0>er|t>t|EI1>ai|n>n|m>m|E0>e|n>n|t>t
entrance E1>e|n>n|t>t|r>r|V0>a|n>n|s>ce
entry E1>e|n>n|t>t|r>r|i0>y
envelope E1>e|n>n|v>v|E0>e|l>l|@U2>o|p>pe
environment I0>e|n>n|v>v|AI1>i|r>r|V0>o|n>n|m>m|E0>e|n>n|t>t
enzyme E1>e|n>n|z>z|AI2>y|m>me
epic E1>e|p>p|I0>i|k>c
equation I0>e|k>q|w>u|EI1>a|Z>ti|V0>o|n>n
equilibrium i2>e|k>q|w>u|I0>i|l>l|I1>i|b>b|r>r|i0>i|V0>u|m>m
equine i1>e|k>q|w>u|AI2>i|n>ne
equipment I0>e|k>q|w>u|I1>i|p>p|m>m|E0>e|n>n|t>t
era E1>e|r>r|V0>a
eraser I0>e|r>r|EI1>a|s>s|r=0>er
eric E1>e|r>r|I0>i|k>c
erik E1>e|r>r|I0>i|k>k
ernest r=1>er|n>n|I0>e|s>s|t>t
ernst r=1>er|n>n|s>s|t>t
error E1>e|r>rr|r=0>or
escalator E1>e|s>s|k>c|V0>a|l>l|EI2>a|t>t|r=0>or
escape I0>e|s>s|k>c|EI1>a|p>pe
essay E1>e|s>ss|EI2>ay
estate I0>e|s>s|t>t|EI1>a|t>te
ethic E1>e|T>th|I0>i|k>c
ethiopia i2>e|T>th|i0>i|@U1>o|p>p|i0>i|V0>a
eugene j;u0>eu|dZ>g|i1>e|n>ne
euro j;u1>eu|r>r|@U0>o
europe j;u1>eu|r>r|V0>o|p>pe
eva i1>e|v>v|V0>a
evaluation I0>e|v>v|{2>a|l>l|j;u0>u|EI1>a|S>ti|V0>o|n>n
evans E1>e|v>v|V0>a|n>n|z>s
eve i1>e|v>ve
evening i1>e|v>ve|n>n|I0>i|N>ng
event I0>e|v>v|E1>e|n>n|t>t
everybody E1>e|v>ve|r>r|i0>y|b>b|A2>o|d>d|i0>y
everyone E1>e|v>ve|r>r|i0>y|w;V2>o|n>ne
everything E1>e|v>ve|r>r|i0>y|T>th|I2>i|N>ng
evidence E1>e|v>v|I0>i|d>d|E0>e|n>n|s>ce
evil i1>e|v>v|I0>i|l>l
evolution E2>e|v>v|V0>o|l>l|u1>u|S>ti|V0>o|n>n
ewe j;u1>ewe
exam I0>e|g;z>x|{1>a|m>m
examination I0>e|g;z>x|{2>a|m>m|I0>i|n>n|EI1>a|S>ti|V0>o|n>n
example I0>e|g;z>x|{1>a|m>m|p>p|V0;l>le
excavator E1>e|k;s>x|k>c|V0>a|v>v|EI2>a|t>t|r=0>or
exchange I0>e|k;s>x|tS>ch|EI1>a|n>n|dZ>ge
executive I0>e|g;z>x|E1>e|k>c|j;V0>u|t>t|I0>i|v>ve
exercise E1>e|k;s>x|r=0>er|s>c|AI2>i|z>se
exhibit I0>e|g;z>xh|I1>i|b>b|I0>i|t>t
exhibition E2>e|k;s>x|V0>hi|b>b|I1>i|S>ti|V0>o|n>n
existence E0>e|g;z>x|I1>i|s>s|t>t|E0>e|n>n|s>ce
exit E1>e|k;s>x|I0>i|t>t
expansion I0>e|k;s>x|p>p|{1>a|n>n|S>si|V0>o|n>n
expedition E2>e|k;s>x|p>p|E0>e|d>d|I1>i|S>ti|V0>o|n>n
experience I0>e|k;s>x|p>p|I1>e|r>r|i0>i|E0>e|n>n|s>ce
experiment I0>e|k;s>x|p>p|E1>e|r>r|I0>i|m>m|E0>e|n>n|t>t
expert E1>e|k;s>x|p>p|r=0>er|t>t
explanation E2>e|k;s>x|p>p|l>l|V0>a|n>n|EI1>a|S>ti|V0>o|n>n
exploration E2>e|k;s>x|p>p|l>l|r=0>or|EI1>a|S>ti|V0>o|n>n
explorer I0>e|k;s>x|p>p|l>l|O1>o|r>r|r=0>er
explosion I0>e|k;s>x|p>p|l>l|@U1>o|Z>si|V0>o|n>n
explosive I0>e|k;s>x|p>p|l>l|@U1>o|s>s|I0>i|v>ve
export E1>e|k;s>x|p>p|O0>o|r>r|t>t
exposure I0>e|k;s>x|p>p|@U1>o|Z>su|r=0>re
express I0>e|k;s>x|p>p|r>r|E1>e|s>ss
expression I0>e|k;s>x|p>p|r>r|E1>e|S>ssi|V0>o|n>n
expressway I0>e|k;s>x|p>p|r>r|E1>e|s>ss|w>w|EI2>ay
eye AI1>eye
eyeglasses AI1>eye|g>g|l>l|{2>a|s>ss|I0>e|z>s
fabric f>f|{1>a|b>b|r>r|I0>i|k>c
facade f>f|V0>a|s>c|A1>a|d>de
face f>f|EI1>a|s>ce
fact f>f|{1>a|k>c|t>t
factor f>f|{1>a|k>c|t>t|r=0>or
factory f>f|{1>a|k>c|t>t|r=0>or|i0>y
faculty f>f|{1>a|k>c|V0>u|l>l|t>t|i0>y
fae f>f|EI1>ae
faerie f>f|E1>ae|r>r|i0>ie
faery f>f|E1>ae|r>r|i0>y
failure f>f|EI1>ai|l>l|j>u|r=0>re
fairy f>f|E1>ai|r>r|i0>y
fairytale f>f|E1>ai|r>r|i0>y|t>t|EI2>a|l>le
faith f>f|EI1>ai|T>th
falcon f>f|{1>a|l>l|k>c|V0>o|n>n
fall f>f|O1>a|l>ll
fame f>f|EI1>a|m>me
family f>f|{1>a|m>m|I0>i|l>l|i0>y
famine f>f|{1>a|m>m|I0>i|n>ne
fan f>f|{1>a|n>n
fang f>f|{1>a|N>ng
fangs f>f|{1>a|N>ng|z>s
farewell f>f|E2>a|r>re|w>w|E1>e|l>ll
farm f>f|A1>a|r>r|m>m
farmer f>f|A1>a|r>r|m>m|r=0>er
fashion f>f|{1>a|S>shi|V0>o|n>n
fat f>f|{1>a|t>t
fate f>f|EI1>a|t>te
father f>f|A1>a|D>th|r=0>er
faucet f>f|O1>au|s>c|E0>e|t>t
fault f>f|O1>au|l>l|t>t
fauna f>f|O1>au|n>n|V0>a
favor f>f|EI1>a|v>v|r=0>or
fax f>f|{1>a|k;s>x
fay f>f|EI1>ay
fear f>f|I1>ea|r>r
feast f>f|i1>ea|s>s|t>t
feather f>f|E1>ea|D>th|r=0>er
feature f>f|i1>ea|tS>t|r=0>ure
february f>f|E1>e|b>b|r>r|u0;w>u|E2>a|r>r|i0>y
federation f>f|E2>e|d>d|r=0>er|EI1>a|S>ti|V0>o|n>n
fedora f>f|I0>e|d>d|O1>o|r>r|V0>a
fee f>f|i1>ee
feed f>f|i1>ee|d>d
feeling f>f|i1>ee|l>l|I0>i|N>ng
feline f>f|i1>e|l>l|AI1>i|n>ne
felix f>f|i1>e|l>l|I0>i|k;s>x
fellow f>f|E1>e|l>ll|@U0>ow
felon f>f|E1>e|l>l|V0>o|n>n
female f>f|i1>e|m>m|EI2>a|l>le
fence f>f|E1>e|n>n|s>ce
fencing f>f|E1>e|n>n|s>c|I0>i|N>ng
ferret f>f|E1>e|r>rr|E0>e|t>t
ferry f>f|E1>e|r>rr|i0>y
festival f>f|E1>e|s>s|t>t|I0>i|v>v|V0>a|l>l
fever f>f|i1>e|v>v|r=0>er
fiber f>f|AI1>i|b>b|r=0>er
fiction f>f|I1>i|k>c|S>ti|V0>o|n>n
fiddle f>f|I1>i|d>dd|V0;l>le
field f>f|i1>ie|l>l|d>d
fig f>f|I1>i|g>g
fight f>f|AI1>igh|t>t
fighter f>f|AI1>igh|t>t|r=0>er
fighterjet f>f|AI1>igh|t>t|r=0>er|dZ>j|E2>e|t>t
figure f>f|I1>i|g>g|j>u|r=0>re
file f>f|AI1>i|l>le
film f>f|I1>i|l>l|m>m
filter f>f|I1>i|l>l|t>t|r=0>er
fin f>f|I1>i|n>n
finance f>f|I0>i|n>n|{1>a|n>n|s>ce
finding f>f|AI1>i|n>n|d>d|I0>i|N>ng
finger f>f|I1>i|n>n|g>g|r=0>er
finish f>f|I1>i|n>n|I0>i|S>sh
finland f>f|I1>i|n>n|l>l|V0>a|n>n|d>d
fir f>f|r=1>ir
fire f>f|AI1>i|r=0>re
firearm f>f|AI1>i|r>re|A2>a|r>r|m>m
firebird f>f|AI1>i|r=0>re|b>b|r=2>ir|d>d
firecracker f>f|AI1>i|r=0>re|k>c|r>r|{2>a|k>ck|r=0>er
firedrake f>f|AI1>i|r=0>re|d>d|r>r|EI2>a|k>ke
fireengine f>f|AI1>i|r=0>re|E1>e|n>n|dZ>g|I0>i|n>ne
firefighter f>f|AI1>i|r>re|f>f|AI2>igh|t>t|r=0>er
firefly f>f|AI1>i|r=0>re|f>f|l>l|AI2>y
fireman f>f|AI1>i|r>re|m>m|V0>a|n>n
fireplace f>f|AI1>i|r=0>re|p>p|l>l|EI2>a|s>ce
firestation f>f|AI1>i|r=0>re|s>s|t>t|EI1>a|S>ti|V0>o|n>n
